issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,satd_count,satd_text,pool_rank,c3_rank,llm_reasoning
AZ4INX4pUdMD1-xUqr_H,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S4144,MEDIUM,MAINTAINABILITY,CODE_SMELL,Update this function so that its implementation is not identical to _adapt_from_generic_interval on line 209.,216,15min,0.0,0.0,5.0,5.0,30.0,12.0,35.0,288.0,A,A,5,4,55,54,,,34,11,"This is a CODE_SMELL (python:S4144) in oracle/types.py flagging a function whose implementation is identical to another function, suggesting either a copy-paste error or dead code. With 5 unique authors and 55 churn over the past year, this is a maintained file. Duplicate implementations can diverge unexpectedly and cause maintenance confusion."
AZ4INX28UdMD1-xUqr7l,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,2533,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",6,12,"This is a CODE_SMELL (python:S3776) in mssql/base.py flagging a function with cognitive complexity of 20 against a threshold of 15. The file is extremely large (4012 lines, cognitive complexity 409) and highly active (19 commits, 8 authors, 396 churn, modified 2 days ago). High complexity in an actively modified file increases the risk of introducing bugs during maintenance."
AZ4INX54UdMD1-xUqsBJ,lib/sqlalchemy/connectors/pyodbc.py,pyodbc.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.,62,26min,0.0,0.0,1.0,1.0,40.0,52.0,26.0,250.0,A,A,3,2,15,116,1.0,"non-tuples as well as tuples, however it seems to assume ""0""",1,13,"This is a CODE_SMELL (python:S3776) in the pyodbc connector flagging a function with cognitive complexity of 36 against a threshold of 15, with the file having overall cyclomatic complexity of 40. The SATD comment suggests known assumptions about data types that may be incorrect. With 26 minutes of estimated effort and moderate activity (3 commits, 2 authors), this complex function warrants investigation."
AZ4INX4mUdMD1-xUqr-5,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S125,MEDIUM,MAINTAINABILITY,CODE_SMELL,Remove this commented out code.,1081,5min,1.0,0.0,21.0,22.0,163.0,186.0,113.0,1484.0,C,A,5,4,98,2,9.0,TODO: the names used across CHAR / VARCHAR / NCHAR / NVARCHAR | here are inconsistent and not very good | take care of reserved words | TODO: we could likely do away with quoting altogether for | this is the only way to ensure a transaction is started without | TODO: Others ? | TODO: others? | TODO: need to end XA state here | TODO: need to end XA state here,31,14,"This is a CODE_SMELL (python:S125) in oracle/cx_oracle.py flagging commented-out code at line 1081. The file has reliability_rating C, 9 SATD comments, and was modified 2 days ago. Commented-out code in a file with known technical debt and active development may indicate incomplete or abandoned changes that should be reviewed."
AZ4INX3WUdMD1-xUqr8n,lib/sqlalchemy/dialects/postgresql/asyncpg.py,asyncpg.py,python:S3626,LOW,MAINTAINABILITY,CODE_SMELL,Remove this redundant continue.,675,1min,0.0,0.0,17.0,17.0,164.0,141.0,67.0,1279.0,A,A,14,4,290,23,2.0,TODO: looks like we have to hand-roll some kind of batching here. | hardcoding for the moment but this should be improved.,50,15,"This is a CODE_SMELL (python:S3626) in postgresql/asyncpg.py flagging a redundant continue statement. The file is highly active (14 commits, 4 authors, 290 churn) and has a SATD comment about needing to hand-roll batching. While minor, redundant control flow in complex async code (cognitive complexity 141) can obscure intent and should be reviewed."
AZ4INX28UdMD1-xUqr7f,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""visit_DATETIME"" to prevent any misunderstanding/clash with method ""visit_datetime"" defined on line 1698",1702,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",2,16,"This is a CODE_SMELL (python:S1845) in mssql/base.py flagging a field 'visit_DATETIME' that could be confused with method 'visit_datetime'. In Python, case-insensitive name clashes can cause subtle dispatch errors in visitor patterns. The file is very active (19 commits, 8 authors, modified 2 days ago) with high complexity (cognitive complexity 409)."
AZ4INX28UdMD1-xUqr7g,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_TEXT"" to prevent any misunderstanding/clash with method ""visit_text"" defined on line 1724",1739,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",3,17,"This is a CODE_SMELL (python:S1845) in mssql/base.py flagging a method 'visit_TEXT' that could clash with 'visit_text'. Similar to alert 2, this is a visitor pattern naming issue in a highly active, complex file. The risk of incorrect dispatch in a SQL dialect visitor is meaningful."
AZ4INX28UdMD1-xUqr7h,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""visit_DATE"" to prevent any misunderstanding/clash with method ""visit_date"" defined on line 1754",1758,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",4,18,"This is a CODE_SMELL (python:S1845) in mssql/base.py flagging a field 'visit_DATE' that could clash with method 'visit_date'. Same context as alerts 2 and 3 — visitor pattern naming in a highly active, complex MSSQL dialect file modified 2 days ago."
AZ4INX28UdMD1-xUqr7i,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_time"" to prevent any misunderstanding/clash with method ""visit_TIME"" defined on line 1685",1763,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",5,19,"This is a CODE_SMELL (python:S1845) in mssql/base.py flagging a method 'visit_time' that could clash with 'visit_TIME'. This is the fourth naming clash in the same visitor class, suggesting a systemic pattern. The file's high activity and complexity make these worth reviewing together."
AZ4INX4RUdMD1-xUqr-a,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""Binary"" to prevent any misunderstanding/clash with field ""BINARY"" defined on line 267",270,10min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,13,20,"This is a CODE_SMELL (python:S1845) in mysql/asyncmy.py flagging a field 'Binary' that could clash with field 'BINARY'. In Python, case-insensitive name resolution could cause confusion. The file is actively developed (8 commits, 3 authors, 122 churn, modified 2 days ago)."
AZ4INYCJUdMD1-xUqsSr,lib/sqlalchemy/__init__.py,__init__.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""lcls"".",275,5min,0.0,0.0,1.0,1.0,3.0,1.0,5.0,295.0,A,A,17,5,42,24,,,18,21,This is a CODE_SMELL (python:S1172) in sqlalchemy/__init__.py flagging an unused parameter 'lcls' in a function. The __init__.py is a high-visibility file with 17 commits and 5 unique authors. Unused parameters in public API entry points can be misleading to callers and should be cleaned up.
AZ4INX21UdMD1-xUqr7L,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",469,5min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,,,20,22,"This is a CODE_SMELL (python:S1172) in mssql/pyodbc.py flagging an unused parameter 'dialect' at line 469. The file has a security rating of E due to the hardcoded password (alert 7), and was modified 2 days ago. Unused parameters in dialect-handling code may indicate incomplete implementations."
AZ4INX34UdMD1-xUqr9Z,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,54,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,24,23,This is a CODE_SMELL (python:S108) in mysql/reflection.py flagging an empty block at line 54. The file has high cognitive complexity (138) and was modified 2 days ago with 127 churn. Empty blocks in reflection code could silently swallow errors or skip important processing.
AZ4INX34UdMD1-xUqr9a,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,62,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,25,24,"This is a CODE_SMELL (python:S108) in mysql/reflection.py flagging an empty block at line 62, similar to alert 24. Multiple empty blocks in the same reflection file suggest a pattern of incomplete exception handling or placeholder code that should be reviewed together."
AZ4INX34UdMD1-xUqr9b,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S108,MEDIUM,MAINTAINABILITY,CODE_SMELL,Either remove or fill this block of code.,74,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,26,25,"This is a CODE_SMELL (python:S108) in mysql/reflection.py flagging a third empty block at line 74. Three empty blocks in the same file's early lines (54, 62, 74) strongly suggest a pattern of silently ignored exceptions in schema reflection logic, which could mask database errors."
AZ4INX4RUdMD1-xUqr-Z,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1542,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename function ""_Binary"" to match the regular expression ^[a-z_][a-z0-9_]*$.",238,10min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,21,26,"This is a CODE_SMELL (python:S1542) in mysql/asyncmy.py flagging a function '_Binary' that doesn't match the naming convention. Related to alert 13 (the Binary/BINARY clash), this naming inconsistency in an actively developed async driver file warrants attention."
AZ4INX34UdMD1-xUqr9W,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,189,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,27,27,This is a CODE_SMELL (python:S1066) in mysql/reflection.py flagging a nested if that could be merged with its enclosing if. The file has high cognitive complexity (138) and was recently modified. Merging these would reduce complexity in an already complex reflection module.
AZ4INX34UdMD1-xUqr9X,lib/sqlalchemy/dialects/mysql/reflection.py,reflection.py,python:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,269,5min,0.0,0.0,12.0,12.0,98.0,138.0,102.0,678.0,A,A,4,3,127,2,,,28,28,This is a second CODE_SMELL (python:S1066) in mysql/reflection.py flagging another mergeable nested if at line 269. Same context as alert 27; both should be addressed together to reduce cognitive complexity in this reflection file.
AZ4INX4pUdMD1-xUqr_F,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",128,5min,0.0,0.0,5.0,5.0,30.0,12.0,35.0,288.0,A,A,5,4,55,54,,,32,29,This is a CODE_SMELL (python:S1172) in oracle/types.py flagging an unused 'dialect' parameter at line 128. The file has 5 unique authors and was last modified 54 days ago. Unused parameters in type conversion methods may indicate incomplete dialect-specific handling.
AZ4INX4pUdMD1-xUqr_G,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove the unused function parameter ""dialect"".",146,5min,0.0,0.0,5.0,5.0,30.0,12.0,35.0,288.0,A,A,5,4,55,54,,,33,30,"This is a CODE_SMELL (python:S1172) in oracle/types.py flagging another unused 'dialect' parameter at line 146, mirroring alert 32. Both should be reviewed together to determine if dialect-specific behavior is intentionally omitted or accidentally missing."
AZ4INX4IUdMD1-xUqr9-,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",118,5min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,8,31,"This is a CODE_SMELL (python:S1186) in mysql/aiomysql.py flagging an empty method at line 118 without explanation. Empty methods in async driver adapters may be intentional no-ops or incomplete implementations; the file is actively developed (8 commits, 3 authors, modified 2 days ago)."
AZ4INX4IUdMD1-xUqr-I,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",274,5min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,9,32,This is a CODE_SMELL (python:S1186) in mysql/aiomysql.py flagging an empty method at line 274. Same context as alert 8; multiple empty methods in the same async adapter file suggest a pattern that should be documented or completed.
AZ4INX4IUdMD1-xUqr-J,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",278,5min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,10,33,"This is a CODE_SMELL (python:S1186) in mysql/aiomysql.py flagging an empty method at line 278, adjacent to alert 9. Three empty methods in the same file (lines 118, 274, 278) suggest systematic placeholder implementations in this async adapter."
AZ4INX4RUdMD1-xUqr-T,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",119,5min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,12,34,"This is a CODE_SMELL (python:S1186) in mysql/asyncmy.py flagging an empty method at line 119, mirroring alert 8 in the parallel asyncmy driver. The file is actively developed (8 commits, 3 authors, modified 2 days ago). The parallel pattern across aiomysql and asyncmy suggests intentional but undocumented design."
AZ4INX4VUdMD1-xUqr-g,lib/sqlalchemy/dialects/mysql/pymysql.py,pymysql.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""Connection"" to match the regular expression ^[_a-z][a-z0-9_]*$.",89,2min,0.0,1.0,2.0,3.0,14.0,16.0,7.0,138.0,A,E,4,3,48,2,,,46,35,This is a CODE_SMELL (python:S117) in mysql/pymysql.py flagging a local variable 'Connection' that doesn't match naming conventions. The file has a security rating of E (1 vulnerability) and was modified 2 days ago. Naming convention violations are low priority but worth noting in an actively maintained file.
AZ4INX21UdMD1-xUqr7K,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""DBAPIBinary"" to match the regular expression ^[_a-z][a-z0-9_]*$.",452,2min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,,,42,36,This is a CODE_SMELL (python:S117) in mssql/pyodbc.py flagging a local variable 'DBAPIBinary' that doesn't match naming conventions. The file has security rating E due to the hardcoded password. Naming issues are low priority but the file context warrants attention.
AZ4INX21UdMD1-xUqr7W,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""odbc_SQL_SS_TIMESTAMPOFFSET"" to match the regular expression ^[_a-z][a-z0-9_]*$.",716,2min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,,,43,37,This is a CODE_SMELL (python:S117) in mssql/pyodbc.py flagging a local variable 'odbc_SQL_SS_TIMESTAMPOFFSET' that doesn't match naming conventions. Same file context as alert 42; both naming issues should be addressed together with the security vulnerability in this file.
AZ4INX4CUdMD1-xUqr95,lib/sqlalchemy/dialects/mysql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""pyodbc_SQL_CHAR"" to match the regular expression ^[_a-z][a-z0-9_]*$.",129,2min,0.0,0.0,4.0,4.0,11.0,6.0,14.0,139.0,A,A,3,3,48,2,,,47,38,"This is a CODE_SMELL (python:S117) in mysql/pyodbc.py flagging a local variable 'pyodbc_SQL_CHAR' that doesn't match naming conventions. The file has low complexity and no bugs or vulnerabilities. This is a minor style issue in a small, stable file."
AZ4INX4CUdMD1-xUqr96,lib/sqlalchemy/dialects/mysql/pyodbc.py,pyodbc.py,python:S117,LOW,MAINTAINABILITY,CODE_SMELL,"Rename this local variable ""pyodbc_SQL_WCHAR"" to match the regular expression ^[_a-z][a-z0-9_]*$.",130,2min,0.0,0.0,4.0,4.0,11.0,6.0,14.0,139.0,A,A,3,3,48,2,,,48,39,"This is a CODE_SMELL (python:S117) in mysql/pyodbc.py flagging a local variable 'pyodbc_SQL_WCHAR' that doesn't match naming conventions, adjacent to alert 47. Both should be fixed together as a trivial style cleanup."
AZ4INX3_UdMD1-xUqr9r,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S6035,MEDIUM,MAINTAINABILITY,CODE_SMELL,Replace this alternation with a character class.,2596,5min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,23,40,"This is a CODE_SMELL (python:S6035) in mysql/base.py suggesting a regex alternation be replaced with a character class. While the file has high activity and security concerns, this is a minor regex optimization with no functional impact."
AZ4INX2rUdMD1-xUqr7A,lib/sqlalchemy/dialects/mssql/information_schema.py,information_schema.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",148,0min,0.0,0.0,1.0,1.0,7.0,3.0,0.0,255.0,A,A,3,2,66,2,1.0,TODO: is CATLOG misspelled ?,40,41,"This is a CODE_SMELL (python:S1135) in mssql/information_schema.py flagging a TODO comment about a possible typo ('CATLOG'). The SATD text confirms this is a known question. With 0 effort and a simple question about a column name spelling, this is low priority but worth a quick check."
AZ4INX2yUdMD1-xUqr7G,lib/sqlalchemy/dialects/mssql/pymssql.py,pymssql.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",69,0min,0.0,0.0,5.0,5.0,18.0,16.0,20.0,127.0,A,A,2,2,3,2,1.0,TODO: monkeypatching here is less than ideal,41,42,"This is a CODE_SMELL (python:S1135) in mssql/pymssql.py flagging a TODO about monkeypatching being non-ideal. The SATD text matches the alert, confirming known technical debt. With 0 effort estimated and the issue being a design concern rather than a bug, this is low priority."
AZ4INX4IUdMD1-xUqr99,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",42,0min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,44,43,"This is a CODE_SMELL (python:S1135) in mysql/aiomysql.py flagging a TODO comment. With 0 effort and no SATD text provided, the TODO's content is unknown but the file is actively developed. TODO comments in async drivers often track known limitations."
AZ4INX4RUdMD1-xUqr-S,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1135,LOW,MAINTAINABILITY,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",41,0min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,45,44,"This is a CODE_SMELL (python:S1135) in mysql/asyncmy.py flagging a TODO comment at line 41, mirroring alert 44 in the parallel async driver. With 0 effort and the same pattern as aiomysql, this is a low-priority documentation item."
